NAMESPACE                      DEPLOYMENT                                         CONTAINERS                CPU_REQ      CPU_LIM      MEM_REQ      MEM_LIM     
kube-system                    ebs-csi-controller                                 csi-resizer               10m          -            40Mi         256Mi       
kube-system                    ebs-csi-controller                                 liveness-probe            10m          -            40Mi         256Mi       
kube-system                    metrics-server                                     metrics-server            100m         -            200Mi        -           
kube-system                    sealed-secrets                                     controller                -            -            -            -           
monitoring                     opentelemetry-collector                            opentelemetry-collector   128m         256m         256Mi        512Mi       
monitoring                     opentelemetry-operator                             manager                   -            -            -            -           
monitoring                     opentelemetry-operator                             kube-rbac-proxy           -            -            -            -           
newrelic-system                newrelic-bundle-kube-state-metrics                 kube-state-metrics        -            -            -            -           
newrelic-system                newrelic-bundle-nri-kube-events                    kube-events               -            -            -            -           
newrelic-system                newrelic-bundle-nri-kube-events                    forwarder                 -            -            -            -           
newrelic-system                newrelic-bundle-nri-metadata-injection             nri-metadata-injection    100m         -            30M          80M         
newrelic-system                newrelic-bundle-nrk8s-ksm                          ksm                       100m         -            150M         850M        
newrelic-system                newrelic-bundle-nrk8s-ksm                          forwarder                 100m         -            150M         850M        
newrelic-system                nri-prometheus                                     nri-prometheus            -            -            -            -           
snyk-monitor                   snyk-monitor                                       snyk-monitor              250m         1            400Mi        2Gi         
temporal-system                temporal-admintools                                admin-tools               100m         -            128Mi        1280Mi      
temporal-system                temporal-frontend                                  temporal-frontend         30m          -            128Mi        2Gi         
temporal-system                temporal-history                                   temporal-history          100m         -            256Mi        8Gi         
temporal-system                temporal-matching                                  temporal-matching         35m          -            100Mi        2Gi         
temporal-system                temporal-web                                       temporal-web              10m          -            60Mi         1280Mi      
temporal-system                temporal-worker                                    temporal-worker           30m          -            60Mi         512Mi       
